timestamp,open,high,low,close,volume
2022-02-01,113.0100,116.6500,108.2649,112.6000,3461877
2022-01-31,97.8700,109.8199,97.8600,108.9300,3499273
2022-01-28,95.4000,98.0000,87.6050,97.9100,4107567
2022-01-27,104.1400,107.0000,92.8865,93.5200,3669956
2022-01-26,101.1000,119.0000,100.3100,103.2600,8332540
2022-01-25,96.9200,104.9692,95.0100,99.7900,3574255
2022-01-24,99.0200,102.8600,86.2900,100.1500,6267749
2022-01-21,101.0000,110.2100,92.7200,106.3600,5530011
2022-01-20,107.9000,115.2000,101.6000,102.6700,2920074
2022-01-19,110.0100,113.0500,104.4100,106.5700,2385828
2022-01-18,113.1100,113.7500,104.4020,108.9100,3732590
2022-01-14,120.1500,122.3000,112.0200,116.6500,3850478
2022-01-13,128.5000,130.5000,121.6900,122.4800,2225270
2022-01-12,130.0000,131.3200,126.4500,128.0600,1574509
2022-01-11,130.1000,136.8000,127.3901,130.3000,2568954
2022-01-10,134.9900,135.6900,120.0000,131.1500,5511981
2022-01-07,159.7700,160.3100,132.5000,140.6200,12137305
2022-01-06,132.8400,137.7000,121.1400,131.0300,6051480
2022-01-05,148.3900,148.8500,129.1501,129.3700,3396400
2022-01-04,152.1700,152.9900,143.0500,148.9100,1834894
2022-01-03,149.2300,159.3800,149.2100,152.8400,1417001
2021-12-31,153.6200,156.7300,148.1000,148.3900,1376205
2021-12-30,151.0000,160.0000,150.0000,155.3300,1561882
2021-12-29,147.8500,155.4900,142.1400,153.9300,2037406
2021-12-28,147.5000,157.4100,146.4100,146.4600,1334472
2021-12-27,152.0000,152.6211,140.0000,148.3100,1615449
2021-12-23,154.0000,155.0000,146.0200,152.1400,1055539
2021-12-22,158.3300,159.1545,152.1200,154.0000,1047154
2021-12-21,157.0600,160.2500,155.1400,158.1200,1430238
2021-12-20,153.1900,159.6800,149.7000,157.1400,1828561
2021-12-17,143.7500,158.5656,139.3310,155.6400,4311620
2021-12-16,152.9300,154.4400,142.1300,144.5900,2164762
2021-12-15,147.4600,152.0000,141.1200,148.5900,2765992
2021-12-14,131.0000,150.3736,129.5000,147.6900,6512133
2021-12-13,160.3300,160.8900,135.0701,136.8800,5486201
2021-12-10,159.8300,162.3000,148.0000,159.0100,4526860
2021-12-09,167.0000,172.6900,151.0000,155.7600,5084340
2021-12-08,176.6000,180.2499,171.9600,173.6500,2611195
2021-12-07,175.1800,181.9800,170.5100,177.8100,1972395
2021-12-06,166.0000,173.3400,163.2000,167.1200,2228636
2021-12-03,181.0000,183.9300,159.0501,172.3900,4096688
2021-12-02,185.0000,187.4300,173.0700,181.5600,2087100
2021-12-01,199.4000,200.1050,177.0100,179.8400,2355535
