timestamp,open,close,change
2022-04-25,51.02,51.7,0.68
2022-04-22,47.77,48.93,1.16
2022-04-21,45.51,47.08,1.57
2022-04-20,46.34,46.72,0.38
2022-04-19,47.3,46.16,-1.14
2022-04-18,46.24,48.45,2.21
2022-04-14,48.37,45.08,-3.29
2022-04-13,44.8,45.85,1.05
2022-04-12,47.03,44.48,-2.55
2022-04-11,45.75,47.01,1.26
2022-04-08,47.3,46.23,-1.07
2022-04-07,50.47,48.03,-2.44
2022-04-06,50.035,50.77,0.735
2022-04-05,53.85,50.98,-2.87
2022-04-04,47.87,49.97,2.1
2022-04-01,39.16,39.31,0.15
2022-03-31,39.11,38.69,-0.42
2022-03-30,40.35,39.0,-1.35
2022-03-29,39.48,40.69,1.21
2022-03-28,38.44,39.12,0.68
2022-03-25,38.99,38.6,-0.39
2022-03-24,38.33,38.82,0.49
2022-03-23,38.0,38.0,0.0
2022-03-22,37.64,38.43,0.79
2022-03-21,37.7,37.44,-0.26
2022-03-18,37.46,37.77,0.31
2022-03-17,35.21,37.3,2.09
2022-03-16,34.9,35.37,0.47
2022-03-15,33.12,33.97,0.85
2022-03-14,32.69,33.03,0.34
2022-03-11,34.04,33.0,-1.04
2022-03-10,33.63,34.12,0.49
2022-03-09,33.55,34.37,0.82
2022-03-08,32.27,32.68,0.41
2022-03-07,33.51,32.42,-1.09
2022-03-04,33.75,33.39,-0.36
2022-03-03,34.9,33.49,-1.41
2022-03-02,35.77,34.62,-1.15
2022-03-01,35.51,35.56,0.05
2022-02-28,34.95,35.55,0.6
2022-02-25,35.12,35.29,0.17
2022-02-24,31.3,34.98,3.68
2022-02-23,33.25,32.76,-0.49
2022-02-22,33.66,32.93,-0.73
2022-02-18,35.49,34.32,-1.17
2022-02-17,35.99,35.43,-0.56
2022-02-16,35.97,36.24,0.27
2022-02-15,36.23,36.98,0.75
2022-02-14,35.62,35.69,0.07
2022-02-11,37.42,35.84,-1.58
2022-02-10,36.56,37.08,0.52
2022-02-09,36.5,37.83,1.33
2022-02-08,35.52,35.98,0.46
2022-02-07,36.72,36.04,-0.68
2022-02-04,35.66,36.94,1.28
2022-02-03,33.84,34.48,0.64
2022-02-02,38.29,36.51,-1.78
2022-02-01,37.84,38.12,0.28
2022-01-31,35.43,37.51,2.08
2022-01-28,33.79,35.27,1.48
2022-01-27,34.14,33.84,-0.3
2022-01-26,34.97,33.62,-1.35
2022-01-25,34.22,34.17,-0.05
2022-01-24,33.7,35.06,1.36
2022-01-21,36.9,34.82,-2.08
2022-01-20,37.84,37.28,-0.56
2022-01-19,37.13,37.35,0.22
2022-01-18,37.72,37.3,-0.42
2022-01-14,38.43,38.44,0.01
2022-01-13,40.15,38.7,-1.45
2022-01-12,40.88,40.25,-0.63
2022-01-11,39.79,40.66,0.87
2022-01-10,39.33,39.97,0.64
2022-01-07,39.65,39.67,0.02
2022-01-06,39.5,39.59,0.09
2022-01-05,40.8,39.5,-1.3
2022-01-04,42.85,40.85,-2.0
2022-01-03,43.5,42.66,-0.84
2021-12-31,44.34,43.22,-1.12
2021-12-30,42.77,44.46,1.69
2021-12-29,43.17,42.76,-0.41
2021-12-28,44.21,43.43,-0.78
2021-12-27,44.21,44.33,0.12
2021-12-23,44.0,44.16,0.16
2021-12-22,44.05,43.9,-0.15
2021-12-21,43.23,44.36,1.13
2021-12-20,42.37,42.98,0.61
2021-12-17,42.7,43.07,0.37
2021-12-16,44.43,43.13,-1.3
2021-12-15,44.0,44.07,0.07
2021-12-14,44.04,44.35,0.31
2021-12-13,45.55,44.6,-0.95
2021-12-10,46.6,45.56,-1.04
2021-12-09,47.21,46.46,-0.75
2021-12-08,44.6,45.72,1.12
2021-12-07,45.07,44.46,-0.61
2021-12-06,42.11,44.47,2.36
2021-12-03,42.82,42.07,-0.75
2021-12-02,43.06,42.65,-0.41
2021-12-01,44.91,42.82,-2.09
2021-11-30,45.51,43.94,-1.57
2021-11-29,51.88,45.78,-6.1
2021-11-26,46.64,47.07,0.43
2021-11-24,46.66,47.52,0.86
2021-11-23,47.2,47.14,-0.06
2021-11-22,48.51,47.31,-1.2
2021-11-19,49.12,48.4,-0.72
2021-11-18,50.65,48.6,-2.05
2021-11-17,52.03,50.61,-1.42
2021-11-16,52.86,52.11,-0.75
2021-11-15,52.41,52.95,0.54
2021-11-12,52.3,52.25,-0.05
2021-11-11,52.59,51.98,-0.61
2021-11-10,53.25,52.33,-0.92
2021-11-09,54.11,53.7,-0.41
2021-11-08,53.45,54.08,0.63
2021-11-05,54.11,53.15,-0.96
2021-11-04,54.58,53.68,-0.9
2021-11-03,53.68,54.53,0.85
2021-11-02,55.04,53.99,-1.05
2021-11-01,53.56,55.11,1.55
2021-10-29,54.01,53.54,-0.47
2021-10-28,55.08,54.29,-0.79
2021-10-27,60.05,54.81,-5.24
2021-10-26,62.66,61.43,-1.23
2021-10-25,61.52,62.11,0.59
2021-10-22,63.81,62.24,-1.57
2021-10-21,65.67,65.4,-0.27
2021-10-20,66.36,65.8,-0.56
2021-10-19,65.14,66.11,0.97
2021-10-18,62.69,64.84,2.15
2021-10-15,63.24,62.77,-0.47
2021-10-14,63.01,63.17,0.16
2021-10-13,61.96,62.2,0.24
2021-10-12,61.68,61.45,-0.23
2021-10-11,62.99,62.1,-0.89
2021-10-08,64.25,63.68,-0.57
2021-10-07,62.195,63.97,1.775
2021-10-06,58.95,61.29,2.34
2021-10-05,59.21,59.86,0.65
2021-10-04,61.04,58.39,-2.65
2021-10-01,60.805,61.98,1.175
2021-09-30,60.375,60.39,0.015
