Unnamed: 0,Mention Count,Mean Sent Score,Scores StdDev
2022-1-31,11,-0.043972727272727274,0.2980812610376878
2022-2-1,38,0.05102368421052632,0.25932455031653007
2022-2-2,36,-0.0394611111111111,0.4778745712768319
2022-2-3,1,0.0,0.0
2022-2-4,16,-0.06470624999999999,0.43746147635153737
2022-2-5,21,-0.0500904761904762,0.30435504580138295
2022-2-6,32,-0.06682812499999999,0.4222732636379762
2022-2-9,13,-0.027869230769230764,0.29065700113310927
2022-2-10,7,0.19345714285714286,0.25671454222633394
2022-2-11,1,0.0,0.0
2022-2-12,7,0.14402857142857142,0.2051961071291373
2022-2-13,2,-0.2553,0.36104872247385117
2022-2-14,1,0.0,0.0
2022-2-15,26,-0.01631153846153846,0.4458870810659785
2022-2-16,5,-0.35378,0.22215527677730276
2022-2-17,6,0.07418333333333332,0.14951155696690027
2022-2-18,3,0.06743333333333333,0.1167979594570613
2022-2-19,8,0.026800000000000004,0.40860735955892213
2022-2-20,3,-0.22786666666666666,0.5878651999679292
2022-2-21,55,-0.017710909090909093,0.45444292868779845
2022-2-22,3,-0.34676666666666667,0.3405785714535389
2022-2-23,1,0.5792,0.0
2022-2-24,6,0.030950000000000005,0.41087417903781687
2022-2-25,1,0.0,0.0
2022-2-26,1,0.0,0.0
2022-2-27,2,0.024599999999999955,0.8824692629208113
2022-2-28,3,0.28163333333333335,0.27473187535000987
2022-3-1,8,0.10189999999999999,0.3536886807025959
2022-3-2,14,-0.05327857142857143,0.3624456016023358
2022-3-3,1,0.0,0.0
2022-3-4,4,0.040924999999999996,0.2655581715933441
2022-3-5,4,-0.4623,0.323005521108644
2022-3-6,23,0.09706956521739131,0.3910933815887577
2022-3-7,47,0.05748297872340426,0.22463899088474584
2022-3-8,8,0.361,0.4068648002890957
2022-3-9,22,-0.04409545454545455,0.37206262206819396
2022-3-10,3,-0.1848,0.3200829892387285
2022-3-11,11,-0.14863636363636365,0.5115511885876667
2022-3-12,5,-0.11148,0.24927685813167655
2022-3-13,39,0.11921025641025641,0.44747639208229206
2022-3-14,15,0.012613333333333336,0.29094252467913084
2022-3-15,1,-0.6908,0.0
2022-3-16,31,-0.09542903225806451,0.4103229493895009
2022-3-17,41,-0.010168292682926829,0.43926172803866287
2022-3-18,70,0.11539285714285714,0.4066420272844868
2022-3-19,23,0.08742608695652175,0.30737280032469794
2022-3-20,5,0.1783,0.45989720590584154
2022-3-21,5,-0.03804,0.16613250133553034
2022-3-22,21,-0.05511428571428571,0.41965620963559475
2022-3-23,37,0.06519459459459459,0.38959281303685517
2022-3-24,64,0.0949953125,0.4190449146020854
2022-3-25,51,0.05363921568627451,0.3754790625738971
2022-3-26,92,0.05836630434782609,0.33223110064643485
2022-3-27,13,-0.12573846153846155,0.5359253672208185
2022-3-28,29,0.12459655172413793,0.24231667073533378
