timestamp,open,close,change
2022-04-25,423.67,428.51,4.84
2022-04-22,436.91,426.04,-10.87
2022-04-21,448.54,438.06,-10.48
2022-04-20,446.92,444.71,-2.21
2022-04-19,437.86,445.04,7.18
2022-04-18,436.81,437.97,1.16
2022-04-14,443.55,437.79,-5.76
2022-04-13,438.03,443.31,5.28
2022-04-12,443.08,438.29,-4.79
2022-04-11,444.11,439.92,-4.19
2022-04-08,447.97,447.57,-0.4
2022-04-07,445.59,448.77,3.18
2022-04-06,446.89,446.52,-0.37
2022-04-05,455.22,451.03,-4.19
2022-04-04,453.13,456.8,3.67
2022-04-01,453.31,452.92,-0.39
2022-03-31,457.89,451.64,-6.25
2022-03-30,460.34,458.7,-1.64
2022-03-29,460.02,461.55,1.53
2022-03-28,452.06,455.91,3.85
2022-03-25,451.16,452.69,1.53
2022-03-24,445.94,450.49,4.55
2022-03-23,446.91,443.8,-3.11
2022-03-22,445.86,449.59,3.73
2022-03-21,444.34,444.39,0.05
2022-03-18,438.0,444.52,6.52
2022-03-17,433.59,441.07,7.48
2022-03-16,429.89,435.62,5.73
2022-03-15,419.77,426.17,6.4
2022-03-14,420.89,417.0,-3.89
2022-03-11,428.12,420.07,-8.05
2022-03-10,422.52,425.48,2.96
2022-03-09,425.14,427.41,2.27
2022-03-08,419.62,416.25,-3.37
2022-03-07,431.55,419.43,-12.12
2022-03-04,431.75,432.17,0.42
2022-03-03,440.47,435.71,-4.76
2022-03-02,432.37,437.89,5.52
2022-03-01,435.04,429.98,-5.06
2022-02-28,432.03,436.63,4.6
2022-02-25,429.61,437.75,8.14
2022-02-24,411.02,428.3,17.28
2022-02-23,432.66,421.95,-10.71
2022-02-22,431.89,429.57,-2.32
2022-02-18,437.33,434.23,-3.1
2022-02-17,443.22,437.06,-6.16
2022-02-16,443.93,446.6,2.67
2022-02-15,443.73,446.1,2.37
2022-02-14,439.92,439.02,-0.9
2022-02-11,449.41,440.46,-8.95
2022-02-10,451.34,449.32,-2.02
2022-02-09,455.22,457.54,2.32
2022-02-08,446.73,450.94,4.21
2022-02-07,449.51,447.26,-2.25
2022-02-04,446.35,448.7,2.35
2022-02-03,450.95,446.6,-4.35
2022-02-02,455.5,457.35,1.85
2022-02-01,450.68,452.95,2.27
2022-01-31,441.24,449.91,8.67
2022-01-28,432.68,441.95,9.27
2022-01-27,438.26,431.24,-7.02
2022-01-26,440.72,433.38,-7.34
2022-01-25,433.06,434.47,1.41
2022-01-24,432.03,439.84,7.81
2022-01-21,445.56,437.98,-7.58
2022-01-20,453.75,446.75,-7.0
2022-01-19,458.13,451.75,-6.38
2022-01-18,459.74,456.49,-3.25
2022-01-14,461.19,464.72,3.53
2022-01-13,472.19,464.53,-7.66
2022-01-12,471.59,471.02,-0.57
2022-01-11,465.23,469.75,4.52
2022-01-10,462.7,465.51,2.81
2022-01-07,467.95,466.09,-1.86
2022-01-06,467.89,467.94,0.05
2022-01-05,477.16,468.38,-8.78
2022-01-04,479.22,477.55,-1.67
2022-01-03,476.3,477.71,1.41
2021-12-31,475.64,474.96,-0.68
2021-12-30,477.93,476.16,-1.77
2021-12-29,476.98,477.48,0.5
